"About the calendar","Acerca del calendario"
"(Absolute path or Relative to Magento install root, ex. var/export)","(Ruta absoluta o relativa para instalar raíz de Magento, ejem. var/export)"
"Access Denied.","Acceso denegado."
"Account Created in:","Creado en cuenta:"
"Account Created on:","Cuenta creada el:"
"Account Created on (%s):","Creado en cuenta (%s):"
"Action","Acción"
"Actions","Acciones"
"Add","Add"
"Add Contents Path","Añadir Contenido de ruta"
"Add Field with URL:","Añadir campo con la URL:"
"Add Maintainer","Añadir mantenimiento"
"Add New Role","Añadir Rol Nuevo"
"Add new store view map","Add new store view map"
"Add New Template","Añadir plantilla nueva"
"Add New User","Agregar usuario nuevo"
"Add new website map","Add new website map"
"Add Package dependency","Añadir Paquete dependiente"
"Add PHP Extension dependency","Añadir Extensión PHP dependiente"
"Address Type:","Tipo de dirección:"
"Add Subpackage dependency","Añadir Sub-paquete dependiente"
"All fields","Todos los campos"
"All","Todo"
"All Websites","Todos los sitios web"
" and "," y "
"API:","API"
"Archive file name:","Archivo de nombre de archivo:"
"Are you sure that you want to delete this template?","¿Está seguro que desea eliminar esta plantilla?"
"Are you sure that you want to strip tags?","¿Estás seguro de que desea deshacer las etiquetas?"
"Attributes","Atributos"
"Attribute Set Name:","Nombre de atributo establecido:"
"Available Products","Productos Disponibles"
"Big Image","Imagen Grande"
"Billing Address","Dirección de Facturación"
"Bundle Items","Paquete de artículos"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Paquete de precios dinámicos no pueden incluir opciones personalizadas definidas. Las Opciones no se guardarán."
"Card Verification Number","Número de Verificación de Tarjeta"
"Catalog","Catálogo"
"Channel:","Canal:"
"Channel","Canal"
"Choose Store View","Elija la vista de la tienda"
"- Click on any of the time parts to increase it","- Clic en cualquiera de las partes del tiempo para aumentarlo"
"Client Session timeout (sec.)","Vencimiento de Sesión de Cliente en (seg.)"
"Close","Cerrar"
"Comments History","Historia de Comentarios"
"Confirmed email:","Confirmar el email:"
"Connect with the Magento Community","Conéctate con la Comunidad de Magento"
"Contents","Contenidos"
"Country:","País:"
"Create a backup","Create a backup"
"Created <strong>%s</strong> items","Created <strong>%s</strong> items"
"Create New Staging Store View","Create New Staging Store View"
"Credit Card Number","Número de Tarjeta de Crédito"
"Credit Card Number: xxxx-%s","Número de Tarjeta de Crédito: xxxx-%s"
"Credit Card Type: %s","Tipo de Tarjeta: %s"
"Credit Card Type","Tipo de tarjeta de crédito"
"Credit Memo History","Historial de notas de crédito"
"Credit Memo Totals","Apuntes de Crédito Total"
"critical","crítico"
"CSV / Tab separated","CSV / Pestaña separadas"
"Current Configuration Scope:","Alcance de configuración actual:"
"Current Release Information","Información de la versión actual"
"Customer Group:","Grupo de los clientes:"
"Customers","Clientes"
"Customer Since:","Cliente Desde:"
"Custom","Preferencias"
"Dashboard","Controles en pantalla"
"Data Format","Formato de datos"
"Data transfer:","Transferencia de datos:"
"Date:","Fecha:"
"Date selection:","Fecha de selección:"
"Date selector","Selector de Fecha"
"Decimal separator:","Separador decimal:"
"Default (Admin) Values","Valores Predeterminados (Admin)"
"Default Values","Valores Predeterminados"
"Delete","Borrar"
"Dependencies","Dependencias"
"Description:","Descripción:"
"DHTML Date/Time Selector","DHTML Selector Fecha/Hora"
"Direction:","Dirección:"
"Display %s first","Mostrar %s primero"
"Distributed under GNU LGPL. See %s for details.","Distribuido bajo licencia GNU LGPL. Ver %s para más detalles."
"Done by:","Hecho por:"
"Done By:","Hecho por:"
"Download Remote File","Descargar archivo remoto"
"Drag to move","Arrastrar para mover"
"Edit Role","Modificar Rol"
"Edit User '%s'","Modificar Usuario '%s'"
"Email:","Email:"
"Email","Email"
"Email Preview","Vista previa de Email"
"Enclose Values In:","En Adjúntese Valores:"
"Entity type:","Entidad de tipo:"
"Excl. Tax","Excl. Impuestos"
"Exclude","Excluir"
"Expiration Date","Fecha de Vencimiento"
"Expiration Date: %s/%s","Fecha de Vencimiento: %s/%s"
"Export:","Exportar"
"Export","Exportar"
"Export Filters","Filtros de exportación"
"Export to:","Exportar a:"
"Extension","Extensión"
"Extensions","Extensiones"
"Field Mapping","Mapeo de campos"
"File Information","Información de archivo"
"File name:","Nombre de archivo:"
"Final Price","Precio Final"
"Finished items creation.","Finished items creation."
"First Name:","Nombre:"
"For latest version visit: %s","Para la versión más reciente, visite: %s"
"(For US 2-letter state names)","(Para EE.UU. los nombres de estados en 2 letras)"
"From","De"
"FTP Host[:Port]","FTP host [: puerto]"
"General Settings","Configuración general"
"Get help for this page","Obtenga ayuda para esta página"
"Global Record Search","Búsqueda global de registro"
"Google Base Items","Elementos de Google Base"
"Go Today","Ir Hoy"
"Group:","Grupo:"
"Help Us Keep Magento Healthy - Report All Bugs","Participa con Magento - Reporta todas las fallas"
"- Hold mouse button on any of the above buttons for faster selection.","- Mantenga el botón del mouse en cualquiera de los botones de arriba para una selección más rápida."
"(If left empty will be auto-generated)","(Si se deja vacío se genera automáticamente)"
"Ignore","Ignorar"
"Images","Imágenes"
"images/logo.gif","images/logo.gif"
"Import","Importar"
"Import Service","Importar servicios"
"Inactive","Inactivo"
"Incl. Tax","Incl. Impuestos"
"Include","Incluir"
"In Database:","En la base de datos:"
"In File:","En el archivo:"
"Installed As","Instalado Como"
"Interactive","Interactivo"
"Interface Locale: %s","Interfaz Local: %s"
"Invalid webservice adapter specified","El adaptador de servicio web especificado es inválido"
"Invalid webservice handler specified","El manejador de servicio web especificado es inválido"
"Invoice History","Historial de la factura"
"Invoice Totals","Totales de Factura"
"Issue Number","Código de seguridad"
"Issuer: %s","Emisor: %s"
"items selected","artículos seleccionados"
"Items to merge","Items to merge"
"Last 5 Orders","Últimos 5 pedidos"
"Last 5 Search Terms","Últimos 5 Términos de búsqueda"
"Last Logged In (%s):","Última vez que ingreso (%s):"
"Last Logged In:","Última vez que ingreso:"
"Last Name:","Apellido:"
"Latest Message:","Último mensaje:"
"(Leave empty for first spreadsheet)","(Deje vacío para la primer hoja de cálculo)"
"Leave empty to use tax identifier","Dejar vacío para uso de identificación de impuestos"
"Level","Nivel"
"License:","Licencia:"
"Loading...","Carga..."
"Local/Remote Server","Local/Servidor Remoto"
"Local Server","Servidor local"
"Logged in as %s","Iniciar sesión como %s"
"Log Out","Cerrar sesión"
"Magento Core Api","Magento API del núcleo"
"Magento Core Api Section","Sección del API núcleo de Magento"
"Magento Logo","Magento Logo"
"Magento&trade; is a trademark of Irubin Consulting Inc. DBA Varien.<br/>Copyright &copy; %s Irubin Consulting Inc.","Magento™ es una marca registrada de Irubin Consultoría Inc. DBA Varien. <br/> Copyright © Irubin %s Consultoría Inc."
"Magento ver. %s","Magento ver. %s"
"Maintainers","Los de Mantenimiento"
"major","mayor"
"Manage Stores","Gestión de tiendas"
"Mapping Configuration","Mapping Configuration"
"Max","Max"
"md5sum","md5sum"
"Merge Now","Merge Now"
"Min","Min"
"minor","menor"
"Module version conflict!","Module version conflict!"
"MS Excel XML","MS Excel XML"
"Name:","Nombre:"
"Name","Nombre"
"Name on Card","Nombre en la tarjeta"
"Name on the Card: %s","Nombre en la Tarjeta: %s"
"N/A","N/A"
"Next month (hold for menu)","El próximo mes (esperar por menú)"
"Next page","Página Siguiente"
"Next year (hold for menu)","El próximo año (esperar por menú)"
"No Data Found","No se han encontrado datos"
"No","No"
"No search keywords.","No hay palabras clave de búsqueda."
"Note:","Nota:"
