"%1$s incl tax.","%1$s incl impuestos."
"Action","Acción"
"Add Attribute","Añadir atributo"
"Add Design Change","Añadir el cambio de diseño"
"Add Group","Agregar grupo"
"Add Items to Cart","Añadir los artículos al Carrito"
"Additional Information","Información Adicional"
"Add New","Añadir Nuevo"
"Add New Attribute","Agregar atributo nuevo"
"Add New Attribute Set","Añadir conjunto de atributos nuevos"
"Add New Group","Añadir grupo nuevo"
"Add New Images","Añadir Imágenes nuevas"
"Add New Option","Agregar Opción Nueva"
"Add New Row","Agregar Renglón Nuevo"
"Add New Search Term","Añadir término nuevo de búsqueda"
"Add New Set","Añadir Arreglo Nuevo"
"Add Option","Añadir la opción"
"Add Product","Añadir Producto"
"Add Product To Websites","Añadir producto a los sitios web"
"Add Root Category","Agregar Categoría Raíz"
"Add Subcategory","Agregar Subcategoría"
"Add Tax","Agregar Impuestos"
"Add Tier","Añadir Capa"
"Add to Cart","Añadir al carrito"
"Add to Compare","Añadir a comparar"
"Add to My Wishlist","Añadir a Mi lista de deseos"
"Add to Wishlist","Añadir a lista de deseos"
"ALL GROUPS","Todos los Grupos"
"Allowed File Extensions","Allowed File Extensions"
"Allowed file extensions to upload","Allowed file extensions to upload"
"Allow HTML-tags on Front-end","Permitir etiquetas-HTML en Front-end"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","¡Todos los productos de este arreglo serán borrados! ¿Está seguro de que desea eliminar esta arreglo del atributo?"
"All Product Types","Todos los Tipos de Producto"
"All","Todo"
"AM","AM"
"Amount","Amount"
"A name is required","Un nombre es requerido"
"and above","y más"
"and","y"
"Apply To","Aplicar a"
"Apply To Configurable/Grouped Product","Aplicar Para Producto Configurable/Agrupado"
"Approved","Aprobado"
"Are you sure?","¿Está seguro?"
"Are you sure you want to delete this category?","¿Estás seguro de que desea borrar esta categoría?"
"Are you sure you would like to remove all products from your comparison?","Are you sure you would like to remove all products from your comparison?"
"Are you sure you would like to remove all products from your comparison?","¿Está seguro de que desea eliminar todos los productos de su comparación?"
"Are you sure you would like to remove this item from the compare products?","¿Está seguro que quiere eliminar este artículo de comparador de productos?"
"As low as:","Tan bajo como:"
"Assign","Asignar"
"Assigned Products","Productos Asignados"
"Assign product link","Asignar enlace al producto"
"Assign product to category","Asignar producto a categoría"
"Associated Products","Productos Asociados"
"Attrib. Set Name","Nombre del Atributo del Arreglo"
"Attribute Code","Código del atributo"
"Attribute group with the ""/name/"" name already exists","Grupo de atributos con el ""/nombre/"" nombre ya existe"
"Attribute Information","Información del Atributo"
"Attribute Label","Etiqueta del atributo"
"Attribute Model","Modelo del atributo"
"Attribute model not defined","Modelo del atributo no definido"
"Attribute Name:","Nombre del atributo:"
"Attribute Properties","Propiedades del atributo"
"Attributes","Atributos"
"Attribute Set","Conjunto del Atributo"
"Attribute with the same code already exists","Atributo con el mismo código ya existe"
"Attrribute names can be specified per store.","Los nombres de atributos se pueden especificar por tienda."
"Autogenerate","Generación Automática"
"Availability:","Disponibilidad:"
"Availability","Disponibilidad"
"Availability: In stock.","Disponibilidad: En existencias."
"Availability: Out of stock.","Disponibilidad: Agotado."
"Backend Model","Modelo Backend"
"Backend Table","Tabla Backend"
"Backend Table Title","Título de la Tabla Backend"
"Backorders","Pedidos Pendientes"
"Back","Volver"
"Base directory to upload image file is not specified","El directorio base para cargar archivo de imagen no esta especificado"
"Based On","Basado en"
