"Comment","Comentario"
"Comment","Comment"
"Contact Form","Formulario de Contacto"
"Contact Information","Contact Information"
"Contact Information","Información de Contacto"
"Contacts","Contactos"
"Contacts Section","Sección de Contactos"
"Contact Us","Contáctenos"
"Email","Correo electrónico"
"Email","Email"
"Email Options","Opciones de correo electrónico"
"Email Sender","Remitente del Email"
"Email Template","Plantilla de Email"
"Enable Contact Us","Activar Contáctenos"
"Name","Name"
"Name","Nombre"
"* Required Fields","* Campo Requerido"
"* Required Fields","* Required Fields"
"Send Emails To","Enviar mensajes a"
"Submit","Enviar"
"Telephone","Teléfono"
"Telephone","Telephone"
"Unable to submit your request. Please, try again later","No se puede enviar su solicitud. Por favor, inténtelo de nuevo más tarde"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Su solicitud fue enviada y será respondida tan pronto como sea posible. Gracias por contactarnos."
