"Account Dashboard","Cuenta del Panel de Control"
"Account Information","Account Information"
"Account Information","Información de cuenta"
"Account information was successfully saved","La información de la cuenta se ha guardado"
"Account Sharing Options","Opciones de Cuenta Compartida"
"Action","Acción"
"Added From","Agregado desde"
"Additional Address Entries","Entradas de Direcciones Adicionales"
"Add New Address","Agregar Dirección Nueva"
"Add New Customer","Agregar Nuevo Cliente"
"Add New Customer Group","Agregar Nuevo Grupo de Clientes"
"Address Book","Address Book"
"Address Book","Libreta de Direcciones"
"Address","Dirección"
"Addresses","Direcciones"
"Address Information","Dirección de Información"
"Admin","Administrador"
"All countries","Todos los países"
"All Store Views","Todas las Vistas de Tienda"
"All","Todo"
"Always optional","Siempre opcional"
"Amount","Monto"
"A new password was sent","Una contraseña nueva ha sido enviada"
"Approved","Aprobado"
"Are you sure?","¿Estás seguro?"
"Are you sure that you want to remove this item?","¿Está seguro que desea eliminar este artículo?"
"Are you sure you want to cancel adding of this address?","¿Estás seguro de que desea cancelar la adición de esta dirección?"
"Are you sure you want to delete this address?","¿Estás seguro de que deseas eliminar esta dirección?"
"Array of Entity collections is expected","Grupo de colecciones de entidades es esperado"
"Assign a customer group","Asignar un grupo de clientes"
"Average Sale","Venta Promedio"
"Back to Login","Back to Login"
"Back to Login","Volver al inicio de sesión"
"Back","Volver"
"Bad request.","Mal solicitado."
"Billing Information","Información de facturación"
"Bill to Name","Factura a nombre de"
"Bought From","Comprado de"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Al crear una cuenta en nuestra tienda, usted podrá realizar el proceso de pago más rápido, guardar múltiples direcciones de envío, ver y rastrear los pedidos en su cuenta y más "
"Cancel","Cancelar"
"Can't save address","No se puede guardar la dirección"
"Can't save customer","No se puede guardar al cliente"
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","No se puede compartir cuentas globales de clientes. Ya que algunas cuentas de clientes con el mismo email existen en sitios web múltiples y no pueden ser fusionados."
"Change Account Password","Cambiar contraseña de la cuenta"
"Change Billing Address","Cambiar la dirección de facturación"
"Change Password","Cambiar contraseña"
"Change Shipping Address","Cambiar la dirección de envío"
"City","Ciudad"
"Company","Compañía"
"Config","Configuración"
"Confirmation Link Email","Enlace de Email Confirmado"
"Confirmed","Confirmado"
"Confirm New Password","Confirmar nueva contraseña"
"Confirm Password","Confirmar contraseña"
"Contact Information","Contact Information"
"Contact Information","Información de Contacto"
"Continue Shopping","Seguir comprando"
"Country","País"
"Create an Account","Crear una Cuenta"
"Create","Crear"
"Create customer address","Crear dirección de cliente"
"Create customer","Crear cliente"
"Create New Account Options","Opciones para Crear una cuenta nueva"
"Create New Customer Account","Crear Cuenta Nueva de Cliente"
"Create Order","Crear Pedido"
"CSV","CSV"
"Current Password","Contraseña actual"
"Customer Addresses","Direcciones del cliente"
"Customer Api","Api de Cliente"
"Customer","Cliente"
"Customer collection expected","Colección de cliente esperada"
"Customer Configuration","Configuración del Cliente"
"Customer doesn't have primary billing address","El cliente no tiene la dirección principal de facturación"
"Customer email already exists","Email de cliente ya existe"
"Customer Group","Grupo de Clientes"
"Customer Groups","Grupos de Clientes"
"Customer Group was successfully deleted","Grupo de clientes eliminado exitosamente"
"Customer Group was successfully saved","Grupo de clientes guardado exitosamente"
"Customer Information","Información del cliente"
"Customer Login","Inicio de sesión del cliente"
"Customers","Clientes"
"Customer Since","Cliente Desde"
"Customers Only","Sólo clientes"
"Customers Section","Sección de Clientes"
"Customer View","Vista del Cliente"
"Customer website id must be specified, when using website scope.","El id del sitio web del cliente debe ser especificado, cuando utilice el alcance del sitio web."
"Date Added","Fecha en que se agregó"
"Date","Fecha"
"Date of Birth","Fecha de nacimiento"
"Date of Birth is required.","La Fecha de nacimiento es requerida."
"Day","Día"
"Days in Wishlist","Días en Lista de Deseos"
"DD","FD"
"Default Addresses","Direcciones Predeterminadas"
"Default Billing Address","Dirección de facturación Predeterminadas"
"Default Email Domain","Dominio de Email Predeterminado"
"Default Group","Grupo predeterminado"
"Default Shipping Address","Default Shipping Address"
"Default Shipping Address","Dirección de Envío Predeterminada"
"Default Welcome Email","Email de bienvenida predeteerminado"
"Delete Address","Eliminar Dirección"
"Delete customer address","Eliminar dirección de cliente"
"Delete customer","Eliminar cliente"
"Delete Customer","Eliminar Cliente"
"Delete Customer Group","Eliminar Grupo de Clientes"
"Deleted Stores","Tiendas Eliminadas"
"Delete","Eliminar"
"Details","Detalles"
"Disabled","Inhabilitado"
"Edit Account Info","Modificar Información de la Cuenta"
"Edit Account Information","Edit Account Information"
"Edit Account Information","Modificar información de la cuenta"
"Edit Address Entry","Modificar Entrada de Dirección"
"Edit Address","Modificar Dirección"
"Edit Customer Group ""%s""","Modificar Grupo de Clientes ""%s"""
"Edit Customer Groups","Modificar Grupos de Clientes"
"Edit Customer's Address","Modificar Dirección del Cliente"
"Edit Group","Modificar Grupo"
"Edit","Modificar"
"Edit Newsletters","Modificar Noticias"
"Edit Newsletter Subscription","Modificar Suscripción de Noticias"
"Edit Personal Information","Modificar Información Personal"
"Email Address","Dirección de Email"
"Email Address","Email Address"
"Email","Correo electrónico"
"Email Sender","Remitente de Email"
"Entity collection is expected","Colección de Entidad esperada"
"Error during retrieval of option value: %s","Error en la recuperación de la opción de valor: %s"
"Ext. Price","Ext. Precio"
"Failed to confirm customer account.","Falla al confirmar la cuenta del cliente."
"Fax","Fax"
"First name can't be empty","No puede quedar vacio el nombre"
"First Name","Nombre"
"Forgot Email Sender","Remitente Email Olvidado"
"Forgot Email Template","Plantilla para Email Olvidado"
"Forgot Your Password?","¿Olvidó su contraseña?"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","Desde su Mi cuenta"" de su escritorio usted tiene la posibilidad de ver un resumen de su actividad reciente de la cuenta y actualizar la información de su cuenta. Elija uno de los enlaces siguientes para ver o modificar la información."""
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information."
"General Subscription","Suscripción General"
"Global","Global"
"Go to Address Book","Ir a la Libreta de direcciones"
"Grand Total: %s","Total: %s"
"Grand Total","Total"
"Group","Grupo"
"Group Information","Información de Grupo"
"Group Name","Nombre del Grupo"
"Group ""%s"" can not be deleted","Grupo ""%s"" no puede ser eliminado"
"Guest","Invitado"
"Hello, %s!","¡Hola %s!"
"HTML","HTML"
"ID","ID"
"If you have an account with us, please log in.","Si usted tiene una cuenta con nosotros, por favor inicie su sesión."
"Invalid attribute option specified for attribute %s (%s), skipping the record","Opción de atributo inválida especificado para el atributo %s (%s), registro omitido"
"Invalid attribute set specified, skipping the record","conjunto inválido de atributo especificado, registro omitido"
"Invalid current password","Contraseña inválida"
"Invalid customer data","Datos de los clientes Inválidos"
"Invalid email address","Dirección de Email inválida"
"Invalid email address ""%s""","Dirección de email inválida ""%s"""
"Invalid login or password.","Invalid login or password."
"Invalid login or password.","Registro o contraseña inválido."
"Invalid option id specified for %s (%s), skipping the record","Opción inválida de id especificada para %s (%s), registro omitido"
"Invalid store specified, skipping the record","Tienda especificada inválida, registro omitido"
"IP Address","Dirección IP"
"Items Order","Artículos del Pedido"
"Last 5 Orders","Últimos 5 Pedidos"
"Last Activity","Última Actividad"
"Last date subscribed","Última fecha suscrita"
"Last date unsubscribed","Última fecha de baja"
"Last Name","Apellido"
"Last name can't be empty","No puede dejar vacio el apellido"
"Last Url","Última Url"
"Last Viewed Items","Últimos Artículos Vistos"
"Leave empty for default (15 minutes).","(15 minutos) predeterminados si deja vacio."
"Leave empty for default (2). Valid range: 1-4","(2) predeterminado si deja vacio. Rango válido: 1-4"
"Lifetime Sales","Tiempo de Vida de Venta"
"Login and password are required","Iniciar sesión y contraseña son requeridos"
"Login Information","Información de Inicio de Sesión"
"Login","Iniciar Sesión"
"Log In","Iniciar sesión"
"Login","Login"
"Log in or Create an Account","Iniciar sesión o crear cuenta"
"Login or Create an Account","Iniciar sesión ó crear una cuenta"
"Log Out","Log Out"
"Log Out","Salir"
"Manage Addresses","Gestión de Direcciones"
"Manage Customers","Gestión de Clientes"
"M.I.","M.I."
"Missing email, skipping the record","Email faltante, registro omitido"
"Missing firstname, skipping the record","Nombre faltante, registro omitido"
"Missing lastname, skipping the record","Apellido Falta, registro omitido"
"MM","MM"
"Month","Mes"
"My Account Dashboard","Mi Cuenta de Panel de Control"
"My Account","Mi Cuenta"
"My Dashboard","Mi Panel de Control"
"My Dashboard","My Dashboard"
"My Orders","Mis Pedidos"
"My Reviews","Mis Comentarios"
"My Tags","Mis Etiquetas"
"My Wishlist","Mi Lista de Deseos"
"Name and Address Options","Opciones de Nombre y Dirección"
"Name","Nombre"
"n/a","n/a"
"Never","Nunca"
"New account confirmation key","Clave para Cuenta Nueva Confirmada"
"New account confirmed","Cuenta Nueva Confirmada"
"New account","Cuenta Nueva"
"New Address","Dirección Nueva"
"New Address Entry","Dirección Nueva de Ingreso"
"New Customer Address","Dirección Nueva de Cliente"
"New Customer","Cliente Nuevo"
"New Customer Group","Grupo de Clientes Nuevo"
"New Customer Groups","Grupos de Clientes Nuevos"
"New Customers","Clientes Nuevos"
"New Group","Grupo Nuevo"
"New password","Contraseña Nueva"
"New Password","Contraseña Nueva"
"Newsletter Finish","Finalizar Noticia"
"Newsletter Information","Información de Noticia"
"Newsletter","Noticia"
"Newsletter Received","Noticia Recibida"
"Newsletters","Noticias"
"Newsletter Start","Iniciar Noticia"
"Newsletter Subscription","Newsletter Subscription"
"Newsletter Subscription","Suscripción a Noticias"
"No Items Found","Artículos No Encontrados"
"No item specified.","Artículo sin especificar."
"No Newsletter Found","Noticia No Encontrada"
"No product collections found","producto de las colecciones no se encuentra"
"Not confirmed, can login","No confirmado, puede registrarse"
"Not confirmed, cannot login","No confirmado, no puede registrarse"
"Not Sent","No Enviado"
"Number of lines in a street address ","Número de lineas en la calle de la dirección "
"Offline","Desconectado"
"Online","Conectado"
"Online Customers","Los clientes en Linea"
"Online Customers Options","Opciones de clientes conectados"
"Online Minutes Interval","Intervalos en Minutos de Conexión"
"Order List...","Lista de Pedidos..."
"Order #","Pedido #"
"Orders","Pedidos"
"Order #%s (%s)","Pedido #%s (%s)"
"Order Total","Total del pedido"
"or","ó"
"Password can't be empty","La contraseña no puede queda vacía"
"Password","Contraseña"
"Password fields can't be empty.","El campo de la contraseña no puede queda vacio."
"Password forgotten","Contraseña Olvidada"
"Password Management","Contraseña de Gestión"
"Password minimal length must be more %s","El largo mínimo de la contraseña debe tener más %s"
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","La contraseña debe tener al menos 6 caracteres. Espacios entre caracteres serán ignorados."
"Password Options","Opciones de Contraseña"
"Password","Password"
"Paused","Pausa"
"Payment Method","Método de Pago"
"PDF","PDF"
"Pending","Pendiente"
"Personal Information","Información Personal"
"Personal Information","Personal Information"
"Per Website","Por Sitio Web"
"Please, check your e-mail for confirmation key.","Revise su email para la clave de confirmación por favor."
"Please enter your email below and we'll send you a new password.","Please enter your email below and we'll send you a new password."
"Please enter your email below and we'll send you a new password.","Por favor, introduzca su Email más abajo y le enviaremos una contraseña nueva."
"Please enter your email below and we'll send you confirmation link for it.","Introduzca su email abajo por favor y le enviaremos un enlace de confirmación."
"Please enter your email.","Por favor, introduzca su Email."
"Please make sure your passwords match.","Por favor, asegúrese de que sus contraseñas coincidan."
"Please select region, state or province","Por favor seleccione la región, estado o provincia"
"Please select","Seleccione, por favor"
"Prefix dropdown options","Opciones de Prefijo para dropdown"
"Prefix","Prefijo"
"Price","Precio"
"Primary Billing Address","Dirección Principal de Facturación"
"Primary Shipping Address","Dirección Principal de Envío"
"Problem saving the collection, aborting. Error: %s","Problema al guardar la colección, abortando. Error: %s"
"Product ID","ID de Productos"
"Product name","Nombre del producto"
"Product Name","Nombre del Producto"
"Product","Producto"
"Product Reviews","Comentarios de Productos"
"Product Tags","Etiquetas de Productos"
"Purchased at","Comprado en"
"Purchase On","Compra en"
"Qty","Cant."
"Recent Orders","Pedidos Recientes"
"Records for ""","Registros para """
"Refunded","Reembolso"
"Registered Customers","Clientes Registrados"
"Registered Customers","Usuarios Registrados"
"Remove","Eliminar"
"* Required Fields","* Campos Requeridos"
"Require Emails Confirmation","Requiere confirmación de email"
"Retrieve address data","Recuperar datos de dirección"
"Retrieve address info","Recuperar información de dirección"
"Retrieve customer addresses","Recuperar dirección del cliente"
"Retrieve customer data","Recuperar datos del cliente"
"Retrieve customer's groups","Recuperar grupos de clientes"
"Retrieve customers info","Recuperar información de clientes"
"Retrieve customers","Recuperar clientes"
"Retrieve your confirmation link here","Recuperar enlace de confirmación aquí"
"Retrieve your password here","Recupera tu contraseña aquí"
"Sales Statistics","Estadísticas de Ventas"
"Save Address","Guardar Dirección"
"Save And Continue Edit","Save And Continue Edit"
"Save Customer Group","Guardar Grupo de Clientes"
"Save Customer","Guardar Cliente"
"Saved ","Guardado"
"Save","Guardar"
"Save Password","Guardar Contraseña"
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Valores separados por semicolon (;).<br/>Poner semicolon al principio para la primer opción vacía.<br/>Dejar en blanco para abrir campo de texto."
"Send auto-generated password","Enviar contraseña generada automáticamente"
"Send confirmation link","Enviar enlace de confirmación"
