"Abandoned carts","Carritos abandonados"
"Action","Acción"
"Add to Cart","Agregar al carrito"
"Add to Compare","Agregar para Comparar"
"Add to Wishlist","Agregar a la Lista de deseos"
"Applied Coupon","Aplicar Cupón"
"Avg. approved rating","Puntuación promedio aprovada"
"Avg. rating","Puntuación promedio"
"Bestsellers","Los más Vendidos"
"Bought from wishlists","Comprado desde la Lista de deseos"
"Carrier/Method","Transportista/Método"
"Carts","carritos"
"Coupons","Cupones"
"Created at","Creado en"
"CSV","CSV"
"Customer","Cliente"
"Customer Name","Nombre del Cliente"
"Customers by number of orders","clientes por número de pedidos"
"Customers by orders total","Clientes por total de pedidos"
"Customers","Clientes"
"Customers Report","Informe de Clientes"
"Customers Reviews","Comentarios de Clientes"
"Customers Tags","Etiquetas de Clientes "
"Customers that have wishlist: %s%","Clientes con Lista de deseos: %s%"
"Customer Tags","Etiquetas del Cliente"
"Day","Día"
"Default Recently Compared Products count","Conteo Predeterminado de Productos Comparados Recientemente"
"Default Recently Viewed Products count","Conteo Predeterminado de Productos Vistos Recientemente"
"Detail","Detalle"
"Discounts","Descuentos"
"Downloads","Descargas"
"Email","E-Mail"
"Excel","Excel"
"First Name","Nombre"
"Guest","Invitado"
"Hits","Visitas"
"ID","ID"
"Invalid date specified","Fecha especificada inválida"
"Invoiced","Facturada"
"Items in Cart","Artículos en el Carrito"
"Items Ordered","Artículos Pedidos"
"Last Name","Apellidos"
"Last Review","Última Revisión"
"Link","Enlace"
"Low stock","Bajas existencias"
"Month","Mes"
"Most viewed","Más Vistos"
"Most Viewed","Más Vistos"
"Name","Nombre"
"New Accounts","Cuentas Nuevas"
"Number Added","Número Agregado"
"Number Fulfilled","Número cumplido"
"Number Of Historical Uses","Número de Usos Históricos"
"Number of items bought from a wishlist: %s","Número de artículos comprados a una Lista de deseos: %s"
"Number of Items","Número de artículos"
"Number of Ivoiced Orders","Número de Pedidos Facturados"
"Number of New Accounts","Número de Cuentas Nuevas "
"Number of Orders","Número de Pedidos"
"Number of Refunded Orders","Número de Pedidos Reembolsados"
"Number of Reviews","Número de Comentarios"
"Number Of Reviews","Número de Comentarios"
"Number of times deleted","Número de veces eliminado"
"Number of times wishlists have been shared (emailed): %s","Número de veces que la Lista de deseos se han compartido (por email) :%s"
"Number of Total Tags","Número total de Etiquetas"
"Number of Unique Tags","Número de Etiquetas Únicas"
"Number Of Uses","Número de Usos"
"Number of Views","Número de Vistas"
"Number of wishlist conversions: %s","Número de conversiones de Lista de deseos: %s"
"Number of wishlist referrals: %s","Número de referencias de Lista de deseos: %s"
"Number of wishlists: %s","Número de Listas-Deseadas: %s"
"Number Purchased","Número de Ordenes de Compras"
"Number Viewed","Número Visto"
"Offline Refunded","Reembolsos fuera de línea"
"Online Refunded","Reembolsos en línea"
"Orders","Pedidos"
"Out of stock","Agotado"
"Poducts Report","Reporte de Productos"
"Popularity","Popularidad"
"Popular Tags","Etiquetas Populares"
"Price","Precio"
"Product Name","Nombre del producto"
"Product Reviews","Comentarios de Productos"
"Products in carts","Productos en carritos"
"Product Sku","No. Ref. (SKU) del Producto"
"Products","Productos"
"Products Report","Informe de Productos"
"Products Reviews","Comentarios de Productos"
"Products Sold","Products Sold"
"Products Tags","Etiquetas de Productos"
"Product Tags","Etiquetas de productos"
"Purchases","Compras"
"Quantity of Items","Cantidad de Artículos"
"Quantity Ordered","Cantidad Pedida"
"Rate","Calificar"
"Recently Compared Products","Productos Recientemente Comparados"
"Recently Viewed/Compared Products","Productos Recientemente Vistos/Comparados"
"Recently Viewed Products","Productos Recientemente Vistos"
"Refresh Statistics","Actualizar estadísticas"
"Refunded","Reembolso"
"Reports","Informes"
"Results","Resultados"
"Revenue","Ingresos"
"Review","Revisión"
"Reviews for %s","Revisiones para %s"
"Reviews","Revisiones"
"Sales Report","Informe de Ventas"
"Sales","Ventas"
"Search Terms","Términos de la búsqueda"
"Shipping","Envío"
"Shopping Cart","Carrito de Compras"
"Show for Current","Mostrar por Actual"
"Stock Qty","Cant. Existencia"
"Submitted In","Enviado en"
"Submitted On","Enviado el"
"Subtotal","Subtotal"
"Tag Detail","Detalle de Etiqueta"
"Tag","Etiqueta"
"Tag Name","Nombre de etiqueta"
"Tag ""%s"" details","Detalles de ""%s"" Etiqueta"
"Tags submited by %s","Etiquetas enviadas por %s"
"Tags submitted to %s","Etiquetas enviadas a %s"
"Tag use","Uso de etiqueta"
"Tax Amount","Monto de los Impuestos"
"Tax","Impuestos"
"Title","Título"
"Total Invoiced Captured","Total facturado capturado"
"Total Invoiced not Captured","Total facturado sin capturar"
"Total invoiced","Total facturado"
"Total Invoiced","Total facturado"
"Total refunded","Total de reembolsos"
"Total Refunded","Total de Reembolsos"
"Total Shipping","Total de envíos"
"Total Tags","Total de Etiquetas"
"Total","Total"
"Updated at","Actualizado en"
"Visible In","Visible en"
"Wishlist Report","Informe de Lista de deseos"
"Wishlists","Lista de deseos"
"Wishlist vs. Regular Order","Lista de deseos vs Pedido Normal"
"Year","Año"
"Your Recently Compared","Sus Comparaciones Recientes"
"Your Recently Viewed","Usted Recientemente Vió"
