"1 star","1 estrella"
"2 stars","2 estrellas"
"3 stars","3 estrellas"
"4 stars","4 estrellas"
"5 stars","5 estrellas"
"Add New Review","Agregar nueva reseña"
"Add Your Review","Agregar su reseña"
"Administrator","Administrador"
"Allow guests to write reviews","Permitir a invitados escribir comentarios"
"All reviews of customer `%s`","Todos los comentarios `%s`"
"All Reviews","Todos los comentarios"
"Are you sure?","¿Está seguro?"
"Are you sure you want to do this?","¿Está seguro que desea hacer esto?"
"Average Customer Rating:","Calificación promedio del cliente:"
"Average Customer Rating","Calificación promedio del cliente"
"Back","Regresar"
"Back to Main Product Info","Regresar a la información principal del producto"
"Back to My Reviews","Regresar a Mis Reseñas"
"Back to Product Reviews","Regresar a las reseñas de los productos"
"Be the first to review this product","Sea el primero en realizar una reseña de este producto"
"Created On","Creado en"
"Customer","Cliente"
"Customer Reviews","Reseñas del cliente"
"Delete","Eliminar"
"Delete Review","Eliminar reseña"
"Detailed Rating","Evaluación Detallada"
"%d Review(s)","%d Reseña(s)"
"Edit Review '%s'","Modificar Reseñas '%s'"
"Guest","Invitado"
"How do you rate this product?","¿Como evalúa este producto?"
"ID","ID"
"Manage Ratings","Gestión del Calificaciones"
"My Product Reviews","Mis reseñas de productos"
"My Product Reviews","My Product Reviews"
"My Recent Reviews","Mis reseñas recientes"
"Name In Store","Nombre en la tienda"
"Name","Nombre"
"New Review","Comentario Nuevo"
"Nickname","Apodo"
"OR","OR"
"Pending reviews of customer `%s`","Reseñas pendientes del cliente `%s`"
"Pending reviews","Reseñas pendientes"
"Pending Reviews","Reseñas pendientes"
"Please select a product","Por favor seleccione un producto"
"Please select one of each of the ratings above","Por favor seleccione una por una de las calificaciones de arriba"
"Posted By","Publicado por"
"(Posted on %s)","(Publicado en %s)"
"Price","Precio"
"Product Name","Nombre del producto"
"Product","Producto"
"Product Rating:","Calificación del producto:"
"Product Rating","Calificación del producto"
"Product Reviews","Reseña del producto"
"Product Review (submitted on %s):","Reseña del producto (presentada en %s):"
"Product SKU","No. Ref. (SKU) del producto"
"Qty","Cant."
"Rating:","Calificación:"
"Review by %s","Reseña por %s"
"Review Details","Detalles de la reseña"
"Review","Reseña"
"Reviews and Ratings","Reseñas y Calificaciones"
"Save Review","Guardar reseña"
"SKU","No. Ref. (SKU)"
"%s Review(s)","%s Reseña(s)"
"Status","Estatus"
"Submit Review","Enviar reseña"
"Summary of review","Resumen de la reseña"
"Summary of Review","Resumen de la reseña"
"Summary of Your Review","Resumen de su reseña"
"Summary Rating","Resumen de la calificación"
"Title","Título"
"Type","Tipo"
"Unable to post review. Please, try again later.","No fue posible enviar su reseña. Por favor, intente más tarde."
"Update status","Actualizar estado"
"View All Reviews","Ver todas las reseñas"
"View Details","Ver detalles"
"Visible In","Visible en"
"Websites","Sitio Web"
"Write Your Own Review","Escribe tu propia reseña"
"You have submitted no reviews.","Usted no ha escrito ninguna reseña."
"You're reviewing: %s","Esta usted revisando: %s"
"Your Rating:","Su calificación:"
"Your review has been accepted for moderation","Su reseña ha sido aceptada para la moderación"
"Your Review (submitted on %s):","Su reseña (enviada el %s):"
